pipeline,model,seed,AUROC_mean_folds,PR_AUC_mean_folds,n_folds_valid,cohort,label
clean,LogisticRegression,1,0.8462609513037972,0.25503557527474163,5,eICU,label24h
clean,RandomForest,1,0.9063370392518442,0.35270170518979294,5,eICU,label24h
clean,SVM,1,0.8459303246420085,0.2533881707323622,5,eICU,label24h
clean,XGBoost,1,0.892374029547858,0.34793760661876694,5,eICU,label24h
clean,LogisticRegression,2,0.8462453345346816,0.2566102202807389,5,eICU,label24h
clean,RandomForest,2,0.9060211861281109,0.3520938933272969,5,eICU,label24h
clean,SVM,2,0.8459230160791256,0.2551043025899184,5,eICU,label24h
clean,XGBoost,2,0.89195976957394,0.3501571005619228,5,eICU,label24h
clean,LogisticRegression,3,0.846734120647017,0.25661500094841977,5,eICU,label24h
clean,RandomForest,3,0.9062203556702585,0.3532300616792417,5,eICU,label24h
clean,SVM,3,0.8464114239370314,0.2552696076614443,5,eICU,label24h
clean,XGBoost,3,0.8920116839835499,0.34823039353898394,5,eICU,label24h
clean,LogisticRegression,4,0.8462733892682873,0.25541625868305706,5,eICU,label24h
clean,RandomForest,4,0.9054667171152839,0.3514507450518565,5,eICU,label24h
clean,SVM,4,0.8459181308427832,0.25379810962910565,5,eICU,label24h
clean,XGBoost,4,0.8913171199828106,0.34790464066393045,5,eICU,label24h
clean,LogisticRegression,5,0.846474649583902,0.2561383983944877,5,eICU,label24h
clean,RandomForest,5,0.9068059945654605,0.3508436986248289,5,eICU,label24h
clean,SVM,5,0.8461608699847532,0.25486749682505533,5,eICU,label24h
clean,XGBoost,5,0.8930407656185633,0.3506085148924942,5,eICU,label24h
clean,LogisticRegression,6,0.8470857233732119,0.2577738857441722,5,eICU,label24h
clean,RandomForest,6,0.9050411503457259,0.35204978296632133,5,eICU,label24h
clean,SVM,6,0.8467748010765795,0.2564072688230708,5,eICU,label24h
clean,XGBoost,6,0.8926840032510223,0.35042125357738707,5,eICU,label24h
clean,LogisticRegression,7,0.846457825412862,0.25618376544032595,5,eICU,label24h
clean,RandomForest,7,0.9062466489672765,0.3517135904792167,5,eICU,label24h
clean,SVM,7,0.8461010730102121,0.2545362921178892,5,eICU,label24h
