pipeline,model,seed,AUROC_mean_folds,PR_AUC_mean_folds,n_folds_valid,cohort,label
clean,LogisticRegression,1,0.9129063562799212,0.39498762571782825,5,MIMIC,label_mortality
clean,RandomForest,1,0.9469389930273229,0.41430826640445834,5,MIMIC,label_mortality
clean,SVM,1,0.912486778969045,0.394581022560445,5,MIMIC,label_mortality
clean,XGBoost,1,0.951512130486266,0.4913549818349601,5,MIMIC,label_mortality
clean,LogisticRegression,2,0.9154151422003224,0.41919115760847375,5,MIMIC,label_mortality
clean,RandomForest,2,0.9490594156875047,0.4324189280846119,5,MIMIC,label_mortality
clean,SVM,2,0.914896523391492,0.4176092089418069,5,MIMIC,label_mortality
clean,XGBoost,2,0.9505697441799436,0.48557061609794844,5,MIMIC,label_mortality
clean,LogisticRegression,3,0.9175345909016668,0.41886650794805413,5,MIMIC,label_mortality
clean,RandomForest,3,0.9485008276127072,0.42240981129067084,5,MIMIC,label_mortality
clean,SVM,3,0.9174789511160449,0.41956823840749075,5,MIMIC,label_mortality
clean,XGBoost,3,0.950057029459136,0.4715939547441838,5,MIMIC,label_mortality
clean,LogisticRegression,4,0.9141326960893854,0.40441288906782563,5,MIMIC,label_mortality
clean,RandomForest,4,0.948736958722252,0.4246731828666806,5,MIMIC,label_mortality
clean,SVM,4,0.9137832744809481,0.4031919864253088,5,MIMIC,label_mortality
clean,XGBoost,4,0.9513214461940681,0.46919354642384103,5,MIMIC,label_mortality
clean,LogisticRegression,5,0.9163902561393499,0.4088221984641728,5,MIMIC,label_mortality
clean,RandomForest,5,0.9482555579014319,0.43527290189077217,5,MIMIC,label_mortality
clean,SVM,5,0.9162441300893434,0.4090048894215933,5,MIMIC,label_mortality
clean,XGBoost,5,0.9537487073424193,0.4930363415527941,5,MIMIC,label_mortality
clean,LogisticRegression,6,0.9175571364841548,0.4066824890006867,5,MIMIC,label_mortality
clean,RandomForest,6,0.9466909486800944,0.4280364339754241,5,MIMIC,label_mortality
clean,SVM,6,0.9175124359072584,0.40749857991766303,5,MIMIC,label_mortality
clean,XGBoost,6,0.9490580391863009,0.4808568045065611,5,MIMIC,label_mortality
clean,LogisticRegression,7,0.9173773859208765,0.41770372208431344,5,MIMIC,label_mortality
clean,RandomForest,7,0.9507641092809578,0.4444942030610063,5,MIMIC,label_mortality
clean,SVM,7,0.9173138000119472,0.41683703850982406,5,MIMIC,label_mortality
clean,XGBoost,7,0.9495281635228519,0.4761926920622308,5,MIMIC,label_mortality
clean,LogisticRegression,8,0.914636869564412,0.4112283662899171,5,MIMIC,label_mortality
clean,RandomForest,8,0.9485037366051838,0.4286966674504947,5,MIMIC,label_mortality
clean,SVM,8,0.9141733672898866,0.41370981167354215,5,MIMIC,label_mortality
clean,XGBoost,8,0.9501430625737581,0.48081169048274075,5,MIMIC,label_mortality
clean,LogisticRegression,9,0.9153038308202351,0.4040696188885624,5,MIMIC,label_mortality
clean,RandomForest,9,0.9501883451060127,0.43090658317380176,5,MIMIC,label_mortality
clean,SVM,9,0.9155058610110369,0.4076774928201286,5,MIMIC,label_mortality
clean,XGBoost,9,0.9498525936544387,0.48472449629346837,5,MIMIC,label_mortality
clean,LogisticRegression,10,0.9159999059717296,0.4152660721912326,5,MIMIC,label_mortality
clean,RandomForest,10,0.9478894741103149,0.4240964716755852,5,MIMIC,label_mortality
clean,SVM,10,0.9159047310713759,0.41248686464671724,5,MIMIC,label_mortality
clean,XGBoost,10,0.9507964785655393,0.4906061552866411,5,MIMIC,label_mortality
clean,LogisticRegression,11,0.9126293173669312,0.40052357369548225,5,MIMIC,label_mortality
clean,RandomForest,11,0.950275654610205,0.43996100436160435,5,MIMIC,label_mortality
clean,SVM,11,0.9122027601445424,0.39865228993910373,5,MIMIC,label_mortality
clean,XGBoost,11,0.9496141533548009,0.48825707889210845,5,MIMIC,label_mortality
clean,LogisticRegression,12,0.9175061291911663,0.41364225375976355,5,MIMIC,label_mortality
clean,RandomForest,12,0.9495648871181233,0.4376387760131246,5,MIMIC,label_mortality
clean,SVM,12,0.9173856759214652,0.41596128980774827,5,MIMIC,label_mortality
clean,XGBoost,12,0.9523620550141239,0.48631394984667775,5,MIMIC,label_mortality
clean,LogisticRegression,13,0.9118053372307496,0.40088944416178585,5,MIMIC,label_mortality
clean,RandomForest,13,0.9491803776337981,0.4313851464542663,5,MIMIC,label_mortality
clean,SVM,13,0.9114520115386859,0.40110681978242085,5,MIMIC,label_mortality
clean,XGBoost,13,0.9489778138969168,0.477756795407014,5,MIMIC,label_mortality
