feature,in_clean,in_leaky,rank_clean,rank_leaky,mean_abs_shap_clean,mean_abs_shap_leaky,adi
age_num,True,True,7.0,12,0.023855,0.004551,5.0
lab_-basos,True,True,40.0,42,0.003176,0.000462,2.0
lab_-eos,True,True,9.0,9,0.021252,0.007649,0.0
lab_-lymphs,True,True,33.0,31,0.006209,0.001022,-2.0
lab_-monos,True,True,22.0,23,0.008843,0.00152,1.0
lab_-polys,True,True,34.0,34,0.005684,0.000874,0.0
lab_ALT_(SGPT),True,True,29.0,32,0.006865,0.001006,3.0
lab_AST_(SGOT),True,True,13.0,16,0.018413,0.004006,3.0
lab_BUN,True,True,5.0,4,0.028294,0.013903,-1.0
lab_Hct,True,True,23.0,28,0.00837,0.001163,5.0
lab_Hgb,True,True,24.0,29,0.007755,0.001054,5.0
lab_MCH,True,True,30.0,35,0.006854,0.000824,5.0
lab_MCHC,True,True,15.0,18,0.01265,0.00245,3.0
lab_MCV,True,True,17.0,21,0.010587,0.001825,4.0
lab_MPV,True,True,35.0,39,0.005436,0.000653,4.0
lab_RBC,True,True,25.0,30,0.007625,0.001025,5.0
lab_RDW,True,True,14.0,10,0.015388,0.006462,-4.0
lab_WBC_x_1000,True,True,11.0,15,0.018617,0.004181,4.0
lab_albumin,True,True,20.0,20,0.009174,0.001896,0.0
lab_anion_gap,True,True,6.0,6,0.027052,0.009814,0.0
lab_bedside_glucose,True,True,28.0,40,0.00701,0.000647,12.0
lab_bicarbonate,True,True,3.0,7,0.032927,0.009776,4.0
lab_calcium,True,True,26.0,33,0.007603,0.000973,7.0
lab_chloride,True,True,21.0,24,0.008866,0.001385,3.0
lab_creatinine,True,True,2.0,3,0.034362,0.015948,1.0
lab_glucose,True,True,12.0,13,0.018552,0.004525,1.0
lab_magnesium,True,True,27.0,22,0.007107,0.001533,-5.0
lab_platelets_x_1000,True,True,19.0,25,0.009467,0.001278,6.0
lab_potassium,True,True,8.0,14,0.022048,0.004456,6.0
lab_sodium,True,True,31.0,37,0.006816,0.000794,6.0
lab_total_protein,True,True,32.0,26,0.00632,0.00123,-6.0
vital_cvp,True,True,47.0,44,0.000895,0.000379,-3.0
vital_heartrate,True,True,4.0,8,0.030738,0.008081,4.0
vital_respiration,True,True,10.0,11,0.019527,0.005668,1.0
vital_sao2,True,True,1.0,5,0.051433,0.012181,4.0
vital_st1,True,True,39.0,43,0.003436,0.000397,4.0
vital_st2,True,True,37.0,41,0.004223,0.000508,4.0
vital_st3,True,True,38.0,46,0.003436,0.000364,8.0
vital_systemicdiastolic,True,True,41.0,36,0.003105,0.000807,-5.0
vital_systemicmean,True,True,18.0,19,0.009514,0.002417,1.0
vital_systemicsystolic,True,True,16.0,17,0.012018,0.003977,1.0
gender,True,True,46.0,49,0.001116,0.00012,3.0
ethnicity,True,True,45.0,48,0.001267,0.00014,3.0
unittype,True,True,43.0,47,0.00295,0.000309,4.0
unitstaytype,True,True,44.0,38,0.002575,0.000769,-6.0
hospitaladmitsource,True,True,42.0,45,0.002978,0.000368,3.0
unitadmitsource,True,True,36.0,27,0.005021,0.001185,-9.0
unitdischargeoffset_num,False,True,,2,,0.176574,
hospitaldischargestatus,False,True,,1,,0.273359,
