Model,Leakage Type,Leaky AUROC,AII (Inflation),Top SHAP Feature
LogisticRegression,clean,0.5082,0.0,
LogisticRegression,tg4h_leakage,0.9994,0.4912,tg4h
LogisticRegression,tcr_leakage,0.9995,0.4913,tcr
LogisticRegression,global_scaling,0.5015,-0.0067,N/A
LogisticRegression,global_winsorization,0.5039,-0.0043,N/A
LogisticRegression,global_label_threshold,0.5015,-0.0067,N/A
LogisticRegression,smote_before_cv,0.5606,0.0524,N/A
LogisticRegression,feature_selection_leakage,0.5092,0.001,N/A
LogisticRegression,combined_leakage,0.9995,0.4913,tg4h
RandomForest,clean,0.5048,0.0,
RandomForest,tg4h_leakage,0.9862,0.4814,N/A
RandomForest,tcr_leakage,1.0,0.4952,tcr
RandomForest,global_scaling,0.4879,-0.0169,N/A
RandomForest,global_winsorization,0.4864,-0.0184,N/A
RandomForest,global_label_threshold,0.4879,-0.0169,N/A
RandomForest,smote_before_cv,0.8156,0.3108,N/A
RandomForest,feature_selection_leakage,0.4908,-0.014,N/A
RandomForest,combined_leakage,0.9943,0.4895,N/A
SVM,clean,0.509,0.0,
SVM,tg4h_leakage,0.9875,0.4785,N/A
SVM,tcr_leakage,0.9933,0.4843,tcr
SVM,global_scaling,0.4822,-0.0268,N/A
SVM,global_winsorization,0.4808,-0.0282,N/A
SVM,global_label_threshold,0.4822,-0.0268,N/A
SVM,smote_before_cv,0.7107,0.2017,N/A
SVM,feature_selection_leakage,0.4815,-0.0275,N/A
SVM,combined_leakage,0.9973,0.4883,N/A
XGBoost,clean,0.4975,0.0,
XGBoost,tg4h_leakage,0.9956,0.4981,tg4h
XGBoost,tcr_leakage,0.9993,0.5018,tcr
XGBoost,global_scaling,0.487,-0.0105,N/A
XGBoost,global_winsorization,0.4903,-0.0072,N/A
XGBoost,global_label_threshold,0.487,-0.0105,N/A
XGBoost,smote_before_cv,0.7413,0.2438,N/A
XGBoost,feature_selection_leakage,0.4794,-0.0181,N/A
XGBoost,combined_leakage,0.9988,0.5013,tg4h
