scenario,mechanism,target_rate,actual_miss_rate,strategy,seed,AUROC,Brier,n_folds
complete,none,0.0,0.0,fold_impute,1,0.5114,0.251,5
complete,none,0.0,0.0,fold_impute,2,0.4909,0.2521,5
complete,none,0.0,0.0,fold_impute,3,0.5108,0.2505,5
complete,none,0.0,0.0,fold_impute,4,0.5056,0.2512,5
complete,none,0.0,0.0,fold_impute,5,0.4757,0.2519,5
complete,none,0.0,0.0,fold_impute,6,0.4996,0.2517,5
complete,none,0.0,0.0,fold_impute,7,0.499,0.252,5
complete,none,0.0,0.0,fold_impute,8,0.5004,0.251,5
complete,none,0.0,0.0,fold_impute,9,0.4986,0.2521,5
complete,none,0.0,0.0,fold_impute,10,0.5251,0.2509,5
complete,none,0.0,0.0,fold_impute,11,0.5318,0.2507,5
complete,none,0.0,0.0,fold_impute,12,0.5079,0.2514,5
complete,none,0.0,0.0,fold_impute,13,0.5081,0.2519,5
complete,none,0.0,0.0,fold_impute,14,0.5356,0.2497,5
complete,none,0.0,0.0,fold_impute,15,0.543,0.2485,5
complete,none,0.0,0.0,fold_impute,16,0.5268,0.2498,5
complete,none,0.0,0.0,fold_impute,17,0.4963,0.2524,5
complete,none,0.0,0.0,fold_impute,18,0.4972,0.252,5
complete,none,0.0,0.0,fold_impute,19,0.4896,0.2517,5
complete,none,0.0,0.0,fold_impute,20,0.5252,0.2506,5
complete,none,0.0,0.0,global_impute,1,0.5114,0.251,5
complete,none,0.0,0.0,global_impute,2,0.4909,0.2521,5
complete,none,0.0,0.0,global_impute,3,0.5108,0.2505,5
complete,none,0.0,0.0,global_impute,4,0.5056,0.2512,5
complete,none,0.0,0.0,global_impute,5,0.4757,0.2519,5
complete,none,0.0,0.0,global_impute,6,0.4996,0.2517,5
complete,none,0.0,0.0,global_impute,7,0.499,0.252,5
complete,none,0.0,0.0,global_impute,8,0.5004,0.251,5
complete,none,0.0,0.0,global_impute,9,0.4986,0.2521,5
complete,none,0.0,0.0,global_impute,10,0.5251,0.2509,5
complete,none,0.0,0.0,global_impute,11,0.5318,0.2507,5
complete,none,0.0,0.0,global_impute,12,0.5079,0.2514,5
complete,none,0.0,0.0,global_impute,13,0.5081,0.2519,5
complete,none,0.0,0.0,global_impute,14,0.5356,0.2497,5
complete,none,0.0,0.0,global_impute,15,0.543,0.2485,5
complete,none,0.0,0.0,global_impute,16,0.5268,0.2498,5
complete,none,0.0,0.0,global_impute,17,0.4963,0.2524,5
complete,none,0.0,0.0,global_impute,18,0.4972,0.252,5
complete,none,0.0,0.0,global_impute,19,0.4896,0.2517,5
complete,none,0.0,0.0,global_impute,20,0.5252,0.2506,5
MCAR_5pct,MCAR,0.05,0.05,fold_impute,1,0.5184,0.2507,5
MCAR_5pct,MCAR,0.05,0.05,fold_impute,2,0.4954,0.2515,5
MCAR_5pct,MCAR,0.05,0.05,fold_impute,3,0.5113,0.2509,5
MCAR_5pct,MCAR,0.05,0.05,fold_impute,4,0.5006,0.2515,5
MCAR_5pct,MCAR,0.05,0.05,fold_impute,5,0.4784,0.252,5
MCAR_5pct,MCAR,0.05,0.05,fold_impute,6,0.5065,0.2515,5
MCAR_5pct,MCAR,0.05,0.05,fold_impute,7,0.4986,0.2523,5
MCAR_5pct,MCAR,0.05,0.05,fold_impute,8,0.5046,0.2509,5
MCAR_5pct,MCAR,0.05,0.05,fold_impute,9,0.4858,0.253,5
MCAR_5pct,MCAR,0.05,0.05,fold_impute,10,0.5175,0.2516,5
