noise_level,noise_mult,tcr_sd,seed,clean_AUROC,leaky_AUROC,auc_inflation,clean_Brier,leaky_Brier
low,0.5,9.3,1,0.5118,0.9996,0.4878,0.2509,0.023
low,0.5,9.3,2,0.4791,0.9995,0.5204,0.2525,0.0236
low,0.5,9.3,3,0.522,0.9997,0.4777,0.2511,0.0209
low,0.5,9.3,4,0.4962,0.9997,0.5035,0.2513,0.0248
low,0.5,9.3,5,0.4844,0.9994,0.515,0.2518,0.0222
low,0.5,9.3,6,0.5023,0.9993,0.497,0.2516,0.0244
low,0.5,9.3,7,0.4814,0.9996,0.5181,0.2534,0.0234
low,0.5,9.3,8,0.4998,0.9993,0.4996,0.2512,0.0237
low,0.5,9.3,9,0.4909,0.9997,0.5088,0.2529,0.0211
low,0.5,9.3,10,0.5234,0.9996,0.4762,0.2501,0.0229
low,0.5,9.3,11,0.5273,0.9997,0.4724,0.2515,0.0226
low,0.5,9.3,12,0.5302,0.9991,0.4689,0.2493,0.0251
low,0.5,9.3,13,0.5078,0.9994,0.4916,0.2516,0.0249
low,0.5,9.3,14,0.5223,0.999,0.4768,0.2516,0.0241
low,0.5,9.3,15,0.5396,0.9991,0.4594,0.2488,0.0235
low,0.5,9.3,16,0.5166,0.9995,0.4829,0.2509,0.025
low,0.5,9.3,17,0.4898,0.9998,0.51,0.2535,0.0201
low,0.5,9.3,18,0.4719,0.9996,0.5277,0.2533,0.022
low,0.5,9.3,19,0.4822,0.9996,0.5174,0.2517,0.0223
low,0.5,9.3,20,0.5165,0.9994,0.4829,0.2514,0.0237
baseline,1.0,18.6,1,0.5118,0.9997,0.4879,0.2509,0.0182
baseline,1.0,18.6,2,0.4791,0.9996,0.5205,0.2525,0.0185
baseline,1.0,18.6,3,0.5207,0.9997,0.4791,0.2512,0.0158
baseline,1.0,18.6,4,0.4962,0.9999,0.5037,0.2513,0.0193
baseline,1.0,18.6,5,0.4839,0.9995,0.5156,0.2518,0.018
baseline,1.0,18.6,6,0.5023,0.9995,0.4971,0.2516,0.0191
baseline,1.0,18.6,7,0.4814,0.9996,0.5182,0.2534,0.0184
baseline,1.0,18.6,8,0.4996,0.9996,0.4999,0.2513,0.0187
baseline,1.0,18.6,9,0.4909,0.9997,0.5088,0.2529,0.0164
baseline,1.0,18.6,10,0.5234,0.9997,0.4763,0.2501,0.018
baseline,1.0,18.6,11,0.5273,0.9998,0.4726,0.2515,0.0173
baseline,1.0,18.6,12,0.5302,0.9993,0.4691,0.2493,0.0199
baseline,1.0,18.6,13,0.5078,0.9996,0.4918,0.2516,0.0196
baseline,1.0,18.6,14,0.5289,0.9991,0.4702,0.2494,0.0186
baseline,1.0,18.6,15,0.5396,0.9993,0.4596,0.2488,0.0189
baseline,1.0,18.6,16,0.5158,0.9997,0.484,0.2513,0.0198
baseline,1.0,18.6,17,0.5037,0.9997,0.4961,0.2516,0.0156
baseline,1.0,18.6,18,0.4999,0.9997,0.4998,0.2512,0.017
baseline,1.0,18.6,19,0.4822,0.9998,0.5175,0.2517,0.0175
baseline,1.0,18.6,20,0.5165,0.9996,0.4831,0.2514,0.0187
medium,1.5,27.9,1,0.5118,0.9997,0.4879,0.2509,0.0167
medium,1.5,27.9,2,0.4791,0.9996,0.5205,0.2525,0.0168
medium,1.5,27.9,3,0.5207,0.9997,0.479,0.2512,0.0142
medium,1.5,27.9,4,0.4765,0.9997,0.5232,0.2536,0.0177
medium,1.5,27.9,5,0.4839,0.9996,0.5156,0.2518,0.0166
medium,1.5,27.9,6,0.504,0.9996,0.4956,0.2515,0.0172
medium,1.5,27.9,7,0.4814,0.9997,0.5183,0.2534,0.0166
medium,1.5,27.9,8,0.4996,0.9996,0.5,0.2513,0.0172
medium,1.5,27.9,9,0.4909,0.9997,0.5088,0.2529,0.0149
medium,1.5,27.9,10,0.5124,0.9998,0.4874,0.2504,0.0157
medium,1.5,27.9,11,0.5273,0.9998,0.4726,0.2515,0.0155
medium,1.5,27.9,12,0.5302,0.9994,0.4692,0.2493,0.0181
medium,1.5,27.9,13,0.5078,0.9996,0.4919,0.2516,0.0178
medium,1.5,27.9,14,0.5223,0.9992,0.477,0.2516,0.0179
medium,1.5,27.9,15,0.5396,0.9993,0.4597,0.2488,0.0172
medium,1.5,27.9,16,0.5166,0.9997,0.4831,0.2509,0.0188
medium,1.5,27.9,17,0.5037,0.9998,0.4961,0.2516,0.014
medium,1.5,27.9,18,0.4999,0.9997,0.4998,0.2512,0.0156
medium,1.5,27.9,19,0.4822,0.9998,0.5175,0.2517,0.016
