scenario,n,n_seeds,clean_AUROC_mean,clean_AUROC_sd,clean_AUROC_p2_5,clean_AUROC_p97_5,ci_width_95,pct_null_range,tost_equivalent,clean_Brier_mean,clean_Brier_sd,leaky_AUROC_mean,leaky_AUROC_sd,leaky_AUROC_p2_5,leaky_AUROC_p97_5,auc_inflation_mean,auc_inflation_sd
null,300,30,0.5216,0.0555,0.4409,0.6386,0.1977,66.7,0,0.2554,0.0093,,,,,,
null,500,30,0.4976,0.0437,0.438,0.5703,0.1323,76.7,1,0.2543,0.0038,,,,,,
null,750,30,0.5049,0.0249,0.4629,0.54,0.0771,100.0,1,0.2525,0.0023,,,,,,
null,1500,30,0.5027,0.026,0.437,0.5389,0.1019,93.3,1,0.2514,0.0015,,,,,,
null,3000,30,0.5011,0.0144,0.4784,0.5269,0.0485,100.0,1,0.2507,0.0006,,,,,,
null,6000,30,0.4987,0.0133,0.4762,0.5213,0.0451,100.0,1,0.2504,0.0004,,,,,,
null,10000,30,0.5012,0.0101,0.4856,0.5201,0.0345,100.0,1,0.2502,0.0002,,,,,,
null,50000,30,0.4995,0.0042,0.4932,0.5079,0.0147,100.0,1,0.25,0.0,,,,,,
null,100000,30,0.4999,0.0032,0.4932,0.5058,0.0126,100.0,1,0.25,0.0,,,,,,
weak_signal,300,30,0.5305,0.0619,0.4044,0.6112,0.2068,40.0,0,0.2546,0.0098,,,,,,
weak_signal,500,30,0.574,0.0421,0.5029,0.6513,0.1484,26.7,0,0.2454,0.0064,,,,,,
weak_signal,750,30,0.5755,0.0273,0.5217,0.6131,0.0914,13.3,0,0.2458,0.0036,,,,,,
weak_signal,1500,30,0.58,0.0254,0.5326,0.6192,0.0866,10.0,0,0.2446,0.0034,,,,,,
weak_signal,3000,30,0.5916,0.0141,0.5594,0.6138,0.0544,0.0,0,0.2431,0.002,,,,,,
weak_signal,6000,30,0.5928,0.0084,0.5782,0.6076,0.0294,0.0,0,0.2431,0.0012,,,,,,
weak_signal,10000,30,0.5939,0.0068,0.5805,0.6033,0.0228,0.0,0,0.2431,0.001,,,,,,
weak_signal,50000,30,0.5944,0.0029,0.5899,0.5993,0.0094,0.0,1,0.243,0.0004,,,,,,
weak_signal,100000,30,0.5954,0.0018,0.5915,0.5983,0.0068,0.0,1,0.2429,0.0002,,,,,,
moderate_signal,300,30,0.622,0.0505,0.5346,0.6981,0.1635,10.0,0,0.2386,0.0114,,,,,,
moderate_signal,500,30,0.6597,0.0294,0.6039,0.6985,0.0946,0.0,0,0.2286,0.0073,,,,,,
moderate_signal,750,30,0.6696,0.03,0.6124,0.724,0.1116,0.0,0,0.2267,0.0076,,,,,,
moderate_signal,1500,30,0.6768,0.0172,0.6418,0.7056,0.0638,0.0,0,0.2249,0.0045,,,,,,
moderate_signal,3000,30,0.6807,0.0113,0.6636,0.6972,0.0336,0.0,0,0.2238,0.0029,,,,,,
moderate_signal,6000,30,0.6773,0.0073,0.6622,0.6875,0.0253,0.0,0,0.225,0.0019,,,,,,
moderate_signal,10000,30,0.6804,0.007,0.6644,0.6908,0.0264,0.0,0,0.2242,0.002,,,,,,
moderate_signal,50000,30,0.6799,0.0031,0.6732,0.6849,0.0117,0.0,0,0.2245,0.0008,,,,,,
moderate_signal,100000,30,0.6804,0.0018,0.6768,0.6828,0.006,0.0,0,0.2244,0.0005,,,,,,
wbv_positive,300,30,0.81,0.0238,0.7757,0.8555,0.0798,0.0,0,0.1761,0.0118,,,,,,
wbv_positive,500,30,0.83,0.0218,0.7918,0.8687,0.0769,0.0,0,0.1673,0.0112,,,,,,
wbv_positive,750,30,0.8334,0.0171,0.8119,0.8734,0.0615,0.0,0,0.1666,0.0081,,,,,,
wbv_positive,1500,30,0.8328,0.0124,0.8129,0.8537,0.0408,0.0,0,0.167,0.0064,,,,,,
wbv_positive,3000,30,0.8338,0.0078,0.8198,0.8439,0.0241,0.0,0,0.1671,0.0041,,,,,,
wbv_positive,6000,30,0.8356,0.0049,0.8272,0.8432,0.016,0.0,0,0.1664,0.0025,,,,,,
wbv_positive,10000,30,0.8335,0.0037,0.8275,0.8411,0.0136,0.0,0,0.1676,0.0019,,,,,,
wbv_positive,50000,30,0.8353,0.0018,0.8323,0.839,0.0067,0.0,0,0.167,0.0009,,,,,,
wbv_positive,100000,30,0.8352,0.0014,0.8328,0.8378,0.005,0.0,0,0.167,0.0007,,,,,,
null_leaky,300,30,0.5216,0.0555,0.4409,0.6386,0.1977,66.7,0,0.2554,0.0093,0.9956,0.0024,0.99,0.9989,0.474,0.0555
null_leaky,500,30,0.4976,0.0437,0.438,0.5703,0.1323,76.7,1,0.2543,0.0038,0.9983,0.0009,0.9964,0.9997,0.5007,0.0436
null_leaky,750,30,0.5049,0.0249,0.4629,0.54,0.0771,100.0,1,0.2525,0.0023,0.999,0.0004,0.998,0.9996,0.4941,0.0251
null_leaky,1500,30,0.5027,0.026,0.437,0.5389,0.1019,93.3,1,0.2514,0.0015,0.9996,0.0002,0.9992,0.9999,0.4969,0.026
null_leaky,3000,30,0.5011,0.0144,0.4784,0.5269,0.0485,100.0,1,0.2507,0.0006,0.9999,0.0001,0.9998,1.0,0.4988,0.0144
null_leaky,6000,30,0.4987,0.0133,0.4762,0.5213,0.0451,100.0,1,0.2504,0.0004,0.9999,0.0,0.9999,1.0,0.5012,0.0133
null_leaky,10000,30,0.5012,0.0101,0.4856,0.5201,0.0345,100.0,1,0.2502,0.0002,1.0,0.0,1.0,1.0,0.4988,0.0102
null_leaky,50000,30,0.4995,0.0042,0.4932,0.5079,0.0147,100.0,1,0.25,0.0,1.0,0.0,1.0,1.0,0.5005,0.0042
null_leaky,100000,30,0.4999,0.0032,0.4932,0.5058,0.0126,100.0,1,0.25,0.0,1.0,0.0,1.0,1.0,0.5001,0.0032
