scenario,n,seed,clean_AUROC,clean_Brier,in_null_range,leaky_AUROC,leaky_Brier,auc_inflation
null,300,1,0.48017,0.26126,1,,,
null,300,2,0.53007,0.25299,1,,,
null,300,3,0.51252,0.2547,1,,,
null,300,4,0.5211,0.25625,1,,,
null,300,5,0.63052,0.23682,0,,,
null,300,6,0.58607,0.24593,0,,,
null,300,7,0.47729,0.25768,1,,,
null,300,8,0.55665,0.25337,0,,,
null,300,9,0.48563,0.25558,1,,,
null,300,10,0.47532,0.26615,1,,,
null,300,11,0.52778,0.25614,1,,,
null,300,12,0.50815,0.25794,1,,,
null,300,13,0.46442,0.26949,1,,,
null,300,14,0.50486,0.25523,1,,,
null,300,15,0.66001,0.22527,0,,,
null,300,16,0.552,0.25036,0,,,
null,300,17,0.39202,0.26628,0,,,
null,300,18,0.51756,0.25238,1,,,
null,300,19,0.51295,0.26197,1,,,
null,300,20,0.55504,0.25042,0,,,
null,300,21,0.56547,0.25246,0,,,
null,300,22,0.53455,0.25581,1,,,
null,300,23,0.49334,0.26775,1,,,
null,300,24,0.58044,0.24537,0,,,
null,300,25,0.4803,0.26478,1,,,
null,300,26,0.59987,0.24766,0,,,
null,300,27,0.48554,0.25894,1,,,
null,300,28,0.53519,0.25652,1,,,
null,300,29,0.46366,0.25943,1,,,
null,300,30,0.45946,0.26717,1,,,
weak_signal,300,1,0.49959,0.26133,1,,,
weak_signal,300,2,0.4768,0.26815,1,,,
weak_signal,300,3,0.57228,0.24932,0,,,
weak_signal,300,4,0.48058,0.26047,1,,,
weak_signal,300,5,0.56321,0.25551,0,,,
weak_signal,300,6,0.59724,0.24546,0,,,
weak_signal,300,7,0.55437,0.25435,0,,,
weak_signal,300,8,0.55849,0.24423,0,,,
weak_signal,300,9,0.41795,0.26946,0,,,
weak_signal,300,10,0.45748,0.26532,1,,,
weak_signal,300,11,0.5363,0.25019,1,,,
weak_signal,300,12,0.57733,0.25087,0,,,
weak_signal,300,13,0.54548,0.25233,1,,,
weak_signal,300,14,0.41087,0.26948,0,,,
weak_signal,300,15,0.56067,0.24425,0,,,
weak_signal,300,16,0.49274,0.26075,1,,,
weak_signal,300,17,0.58947,0.24189,0,,,
weak_signal,300,18,0.5296,0.2534,1,,,
weak_signal,300,19,0.54773,0.25308,1,,,
weak_signal,300,20,0.52965,0.25314,1,,,
weak_signal,300,21,0.55385,0.25582,0,,,
weak_signal,300,22,0.58963,0.24929,0,,,
weak_signal,300,23,0.57378,0.2481,0,,,
weak_signal,300,24,0.57825,0.24954,0,,,
weak_signal,300,25,0.43407,0.26526,0,,,
weak_signal,300,26,0.38727,0.27894,0,,,
weak_signal,300,27,0.60015,0.24247,0,,,
weak_signal,300,28,0.6403,0.23475,0,,,
