scenario,seed,n,model,AUROC,PR_AUC,Brier
null,1,1500,LogisticRegression,0.5118,0.2784,0.2509
null,2,1500,LogisticRegression,0.4791,0.2519,0.2525
null,3,1500,LogisticRegression,0.5207,0.2721,0.2512
null,4,1500,LogisticRegression,0.4962,0.2581,0.2513
null,5,1500,LogisticRegression,0.4839,0.2447,0.2518
null,6,1500,LogisticRegression,0.5023,0.2656,0.2516
null,7,1500,LogisticRegression,0.4814,0.2556,0.2534
null,8,1500,LogisticRegression,0.4996,0.2789,0.2513
null,9,1500,LogisticRegression,0.4909,0.2504,0.2529
null,10,1500,LogisticRegression,0.5234,0.2843,0.2501
null,11,1500,LogisticRegression,0.5273,0.2687,0.2515
null,12,1500,LogisticRegression,0.5302,0.2813,0.2493
null,13,1500,LogisticRegression,0.5078,0.2697,0.2516
null,14,1500,LogisticRegression,0.5289,0.2744,0.2494
null,15,1500,LogisticRegression,0.5396,0.2894,0.2488
null,16,1500,LogisticRegression,0.5158,0.269,0.2513
null,17,1500,LogisticRegression,0.5036,0.2595,0.2516
null,18,1500,LogisticRegression,0.4999,0.2598,0.2512
null,19,1500,LogisticRegression,0.4822,0.2604,0.2517
null,20,1500,LogisticRegression,0.5165,0.2785,0.2514
null,21,1500,LogisticRegression,0.4635,0.2389,0.2531
null,22,1500,LogisticRegression,0.5125,0.283,0.2507
null,23,1500,LogisticRegression,0.4372,0.2297,0.2538
null,24,1500,LogisticRegression,0.5094,0.2674,0.2513
null,25,1500,LogisticRegression,0.5301,0.2607,0.2505
null,26,1500,LogisticRegression,0.5204,0.2787,0.2503
null,27,1500,LogisticRegression,0.5386,0.2933,0.2489
null,28,1500,LogisticRegression,0.504,0.2544,0.251
null,29,1500,LogisticRegression,0.488,0.2586,0.2523
null,30,1500,LogisticRegression,0.4364,0.2331,0.2564
null,31,1500,LogisticRegression,0.5275,0.2796,0.2488
null,32,1500,LogisticRegression,0.5233,0.2966,0.25
null,33,1500,LogisticRegression,0.501,0.2575,0.2514
null,34,1500,LogisticRegression,0.5021,0.2733,0.2509
null,35,1500,LogisticRegression,0.5136,0.2652,0.2512
null,36,1500,LogisticRegression,0.5298,0.2704,0.2499
null,37,1500,LogisticRegression,0.5449,0.2932,0.2485
null,38,1500,LogisticRegression,0.5119,0.2819,0.2501
null,39,1500,LogisticRegression,0.5044,0.2772,0.251
null,40,1500,LogisticRegression,0.5411,0.2906,0.2492
null,41,1500,LogisticRegression,0.534,0.2876,0.2488
null,42,1500,LogisticRegression,0.4924,0.2577,0.2519
null,43,1500,LogisticRegression,0.4615,0.2409,0.2543
null,44,1500,LogisticRegression,0.4944,0.2616,0.251
null,45,1500,LogisticRegression,0.5132,0.2722,0.2505
null,46,1500,LogisticRegression,0.5005,0.2618,0.2502
null,47,1500,LogisticRegression,0.503,0.2677,0.2518
null,48,1500,LogisticRegression,0.5115,0.2854,0.2505
null,49,1500,LogisticRegression,0.4763,0.2596,0.2524
null,50,1500,LogisticRegression,0.5051,0.273,0.2513
null,51,1500,LogisticRegression,0.4994,0.2661,0.2524
null,52,1500,LogisticRegression,0.5395,0.281,0.2494
null,53,1500,LogisticRegression,0.4719,0.253,0.2519
null,54,1500,LogisticRegression,0.4635,0.2365,0.2534
null,55,1500,LogisticRegression,0.5073,0.259,0.2521
null,56,1500,LogisticRegression,0.5097,0.2773,0.2503
null,57,1500,LogisticRegression,0.5304,0.2749,0.2494
null,58,1500,LogisticRegression,0.5073,0.2737,0.2501
null,59,1500,LogisticRegression,0.5383,0.2941,0.2492
null,60,1500,LogisticRegression,0.5188,0.2758,0.2508
null,61,1500,LogisticRegression,0.5611,0.3021,0.246
null,62,1500,LogisticRegression,0.5204,0.2942,0.2501
null,63,1500,LogisticRegression,0.4756,0.2485,0.2519
null,64,1500,LogisticRegression,0.4818,0.2514,0.2519
null,65,1500,LogisticRegression,0.4339,0.2307,0.2533
null,66,1500,LogisticRegression,0.5034,0.2717,0.2513
null,67,1500,LogisticRegression,0.4653,0.2432,0.2528
null,68,1500,LogisticRegression,0.4997,0.2584,0.2515
null,69,1500,LogisticRegression,0.4881,0.2573,0.2516
null,70,1500,LogisticRegression,0.5064,0.2626,0.2512
null,71,1500,LogisticRegression,0.4979,0.2527,0.2518
null,72,1500,LogisticRegression,0.4961,0.2632,0.2518
null,73,1500,LogisticRegression,0.5056,0.2669,0.2526
null,74,1500,LogisticRegression,0.4585,0.2337,0.2523
null,75,1500,LogisticRegression,0.4624,0.2406,0.254
null,76,1500,LogisticRegression,0.5376,0.2843,0.25
null,77,1500,LogisticRegression,0.4865,0.2559,0.2511
null,78,1500,LogisticRegression,0.4891,0.2484,0.2526
null,79,1500,LogisticRegression,0.4981,0.2622,0.2504
null,80,1500,LogisticRegression,0.493,0.2478,0.2531
null,81,1500,LogisticRegression,0.494,0.2563,0.2515
null,82,1500,LogisticRegression,0.4891,0.2676,0.2516
null,83,1500,LogisticRegression,0.4949,0.257,0.2532
null,84,1500,LogisticRegression,0.4837,0.2548,0.2537
null,85,1500,LogisticRegression,0.4639,0.2364,0.2523
null,86,1500,LogisticRegression,0.5116,0.2721,0.2507
null,87,1500,LogisticRegression,0.5247,0.2689,0.2521
null,88,1500,LogisticRegression,0.4803,0.2725,0.2513
null,89,1500,LogisticRegression,0.5175,0.2748,0.2504
null,90,1500,LogisticRegression,0.4783,0.263,0.252
null,91,1500,LogisticRegression,0.5056,0.2736,0.2514
null,92,1500,LogisticRegression,0.4487,0.2337,0.2533
null,93,1500,LogisticRegression,0.5263,0.2688,0.2501
null,94,1500,LogisticRegression,0.5133,0.2718,0.2506
null,95,1500,LogisticRegression,0.4986,0.2714,0.251
null,96,1500,LogisticRegression,0.4684,0.245,0.2535
null,97,1500,LogisticRegression,0.5189,0.2648,0.2505
null,98,1500,LogisticRegression,0.545,0.2932,0.2489
null,99,1500,LogisticRegression,0.4662,0.2397,0.2536
null,100,1500,LogisticRegression,0.5059,0.2564,0.2515
weak_signal,1,1500,LogisticRegression,0.6061,0.335,0.2411
weak_signal,2,1500,LogisticRegression,0.5871,0.3134,0.2433
weak_signal,3,1500,LogisticRegression,0.5924,0.3255,0.2437
weak_signal,4,1500,LogisticRegression,0.5505,0.3165,0.248
weak_signal,5,1500,LogisticRegression,0.5266,0.2929,0.252
weak_signal,6,1500,LogisticRegression,0.5919,0.3252,0.2442
weak_signal,7,1500,LogisticRegression,0.5591,0.2932,0.2475
weak_signal,8,1500,LogisticRegression,0.5992,0.3517,0.2416
weak_signal,9,1500,LogisticRegression,0.5964,0.3332,0.244
weak_signal,10,1500,LogisticRegression,0.5508,0.3054,0.2475
weak_signal,11,1500,LogisticRegression,0.5869,0.3283,0.2432
weak_signal,12,1500,LogisticRegression,0.5704,0.3049,0.2454
weak_signal,13,1500,LogisticRegression,0.5597,0.319,0.2484
weak_signal,14,1500,LogisticRegression,0.5825,0.3278,0.2445
weak_signal,15,1500,LogisticRegression,0.5704,0.3043,0.2469
weak_signal,16,1500,LogisticRegression,0.5599,0.2945,0.2472
weak_signal,17,1500,LogisticRegression,0.5348,0.2941,0.2494
weak_signal,18,1500,LogisticRegression,0.5394,0.3183,0.2487
weak_signal,19,1500,LogisticRegression,0.6018,0.3258,0.2432
weak_signal,20,1500,LogisticRegression,0.6263,0.3525,0.2384
weak_signal,21,1500,LogisticRegression,0.5711,0.3077,0.2469
weak_signal,22,1500,LogisticRegression,0.6106,0.3604,0.2395
weak_signal,23,1500,LogisticRegression,0.5955,0.3384,0.2441
weak_signal,24,1500,LogisticRegression,0.602,0.3494,0.2415
weak_signal,25,1500,LogisticRegression,0.5837,0.3112,0.2445
weak_signal,26,1500,LogisticRegression,0.569,0.3182,0.2465
weak_signal,27,1500,LogisticRegression,0.6165,0.3778,0.2392
weak_signal,28,1500,LogisticRegression,0.6165,0.3652,0.239
weak_signal,29,1500,LogisticRegression,0.574,0.3342,0.2439
weak_signal,30,1500,LogisticRegression,0.5695,0.3214,0.2464
weak_signal,31,1500,LogisticRegression,0.5911,0.3279,0.2437
weak_signal,32,1500,LogisticRegression,0.57,0.3196,0.2453
weak_signal,33,1500,LogisticRegression,0.5789,0.3337,0.2446
weak_signal,34,1500,LogisticRegression,0.5926,0.3196,0.2439
weak_signal,35,1500,LogisticRegression,0.6065,0.3557,0.2406
weak_signal,36,1500,LogisticRegression,0.5759,0.3121,0.247
weak_signal,37,1500,LogisticRegression,0.5602,0.3054,0.2469
weak_signal,38,1500,LogisticRegression,0.5851,0.3177,0.2449
weak_signal,39,1500,LogisticRegression,0.5935,0.3283,0.244
weak_signal,40,1500,LogisticRegression,0.5773,0.3227,0.2452
weak_signal,41,1500,LogisticRegression,0.5595,0.3047,0.2467
weak_signal,42,1500,LogisticRegression,0.6012,0.3569,0.2419
weak_signal,43,1500,LogisticRegression,0.581,0.3264,0.2464
weak_signal,44,1500,LogisticRegression,0.5674,0.3278,0.2463
weak_signal,45,1500,LogisticRegression,0.5309,0.2759,0.2502
weak_signal,46,1500,LogisticRegression,0.5752,0.321,0.2458
weak_signal,47,1500,LogisticRegression,0.6052,0.3458,0.2421
weak_signal,48,1500,LogisticRegression,0.5959,0.363,0.2425
weak_signal,49,1500,LogisticRegression,0.5522,0.2997,0.2487
weak_signal,50,1500,LogisticRegression,0.6052,0.3423,0.2422
weak_signal,51,1500,LogisticRegression,0.626,0.3741,0.2363
weak_signal,52,1500,LogisticRegression,0.5365,0.2971,0.2502
weak_signal,53,1500,LogisticRegression,0.5636,0.3175,0.247
weak_signal,54,1500,LogisticRegression,0.5937,0.3183,0.2438
weak_signal,55,1500,LogisticRegression,0.5653,0.3159,0.2463
weak_signal,56,1500,LogisticRegression,0.5926,0.3165,0.2438
weak_signal,57,1500,LogisticRegression,0.5761,0.3008,0.2454
weak_signal,58,1500,LogisticRegression,0.5566,0.2993,0.2481
weak_signal,59,1500,LogisticRegression,0.6052,0.3478,0.2409
weak_signal,60,1500,LogisticRegression,0.5807,0.3194,0.2443
weak_signal,61,1500,LogisticRegression,0.5872,0.3431,0.2437
weak_signal,62,1500,LogisticRegression,0.5728,0.3258,0.2461
weak_signal,63,1500,LogisticRegression,0.5898,0.3394,0.2438
weak_signal,64,1500,LogisticRegression,0.5852,0.3499,0.2439
weak_signal,65,1500,LogisticRegression,0.5753,0.3022,0.2462
weak_signal,66,1500,LogisticRegression,0.5781,0.3341,0.2445
weak_signal,67,1500,LogisticRegression,0.556,0.3089,0.2478
weak_signal,68,1500,LogisticRegression,0.597,0.3378,0.2421
weak_signal,69,1500,LogisticRegression,0.5383,0.2927,0.2492
weak_signal,70,1500,LogisticRegression,0.5992,0.3224,0.2428
weak_signal,71,1500,LogisticRegression,0.5918,0.3255,0.2433
weak_signal,72,1500,LogisticRegression,0.5944,0.336,0.2429
weak_signal,73,1500,LogisticRegression,0.5761,0.3207,0.2445
weak_signal,74,1500,LogisticRegression,0.5467,0.299,0.2492
weak_signal,75,1500,LogisticRegression,0.591,0.3204,0.2426
weak_signal,76,1500,LogisticRegression,0.5751,0.3093,0.246
weak_signal,77,1500,LogisticRegression,0.5805,0.3105,0.246
weak_signal,78,1500,LogisticRegression,0.5755,0.3025,0.2453
weak_signal,79,1500,LogisticRegression,0.6001,0.3426,0.2421
